seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,use_stationary_features,val_actionable_support,val_trade_count,val_trade_rate,test_actionable_support,test_trade_count,test_trade_rate,robustness_score,execution_mode,spread_bps,slippage_bps
7,60000,0.0003,0.99,0.02,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.02,1.0,1,0.1909385113268608,0.4838709677419355,0.4473684210526316,-0.0112287372433254,0.157556270096463,0.4117647058823529,0.4444444444444444,0.005402289301269,-0.4779875290440368,-0.0928001004739393,0.3739002627380921,174.8590269088745,0.2504609607335611,77.39243686667038,-6.792470825481928e-05,0.0005512454132879,-0.0008466910574883,0.0048543689320388,-0.0019307804375895,0.0128718695839303,0.0928641308118169,28.880744682475083,-3.1569735823717206e-05,0.000232128391568,-0.0011520802012227,0.0014147909967845,-0.0030172495037003,0.0201149966913358,-0.0211306498396702,-0.6993436532889323,-0.5855077318926154,-0.0295022507569415,-0.0100436660417815,-0.3753475807191707,-0.2029031871297507,-0.035990295237602,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-094139Z_hybrid-stage-b_seed7.zip,0.005402289301269,0.0,1,0.0,0,1.0,62.0,76.0,0.2459546925566343,17.0,18.0,0.0578778135048231,0.3610149395977191,,,
7,40000,0.0003,0.995,0.02,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.04,1.0,1,0.4627831715210356,0.5737704918032787,0.5563380281690141,0.5479195625170215,0.3504823151125402,0.488262910798122,0.4900398406374502,-0.2720726377383831,-0.2562412324277487,-0.2821593401845033,0.5633705668557478,116.67930054664612,0.2494591665457415,77.08288246263413,0.0006084165247742,0.0017693988488408,-0.0001263285939612,0.0135922330097087,-0.0014984075033449,0.0149840750334497,0.1546890196016881,48.108285096125016,-0.0006973365102949,0.0012224865705244,-0.0002131305352809,0.0182636655948553,-0.0118890577710724,0.1188905777107248,0.2006156467766178,1.589736323822878,2.1790437819722936,-0.06032883546608,-0.1994029057523454,-1.7624806581185106,-2.053381219515165,-0.201660453591174,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-092116Z_hybrid-stage-b_seed7.zip,-0.2720726377383831,0.0,1,0.0,0,1.0,244.0,284.0,0.919093851132686,213.0,251.0,0.8070739549839229,0.5308792537870396,,,
7,40000,0.0003,0.99,0.03,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.02,1.0,1,0.3786407766990291,0.5578947368421052,0.536036036036036,0.3515430938970061,0.2315112540192926,0.5108695652173914,0.5,0.1714607590158274,-0.4395845802586178,-0.1127462743511082,0.5100667980112646,116.99711656570436,0.1915287048338266,59.18236979365243,5.968182087528543e-05,0.0007465943305751,-0.0003443757912375,0.0115210355987055,-0.0034400381860073,0.0229335879067159,0.1167211488596656,36.300277295356025,-9.201630536580092e-05,0.0003515116999953,-0.0008342423383444,0.0113183279742765,-0.0051902257754582,0.0346015051697218,0.0172722989457487,0.3020865209054281,0.4040090857648101,-0.0738168003270446,-0.0299898399189504,-0.3823408232289251,-0.4776201752826675,-0.0795702097231587,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-091524Z_hybrid-stage-b_seed7.zip,0.1714607590158274,0.0,1,0.0,0,1.0,190.0,222.0,0.7184466019417476,92.0,110.0,0.3536977491961415,0.4964409119949181,,,
7,40000,0.0003,0.995,0.03,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.02,1.0,1,0.4724919093851132,0.5793650793650794,0.559322033898305,0.8075015173619322,0.360128617363344,0.5175879396984925,0.5107296137339056,-0.1034911162067296,-0.3338338580970754,-0.2409436965696229,0.6189794533244176,116.61320328712463,0.1830113439005221,56.55050526526134,0.0003887798053395,0.0013471343746247,-7.55626888859605e-05,0.0126860841423948,-0.0026580817212683,0.0177205448084555,0.1285905156917508,39.99165038013452,-0.0005405985362107,0.0010326248913242,-0.0003398043854515,0.010032154340836,-0.0129310345516212,0.086206897010808,0.1230230211072911,1.1235016489241023,1.4323745705122326,-0.0495312488177256,-0.158187262137465,-1.5578991730343148,-1.7692637182189204,-0.1697403438682012,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-093104Z_hybrid-stage-b_seed7.zip,-0.1034911162067296,0.0,1,0.0,0,1.0,252.0,295.0,0.9546925566343042,199.0,233.0,0.7491961414790996,0.5917962266841259,,,
21,40000,0.0003,0.99,0.03,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4951456310679611,0.5735849056603773,0.5537459283387622,0.6869613989785688,0.4212218649517685,0.5059288537549407,0.4982935153583617,-0.0874531792794138,-0.3880269266137852,-0.129204154795946,0.5903085111275311,76.52639150619507,0.1672757655668023,51.68821156014194,0.0002242064464413,0.0010505778389629,-1.1547634048899248e-05,0.0075080906148867,-0.0026005028367522,0.026005028367522,0.1030392247179872,32.04519888729402,-0.0001401992632358,0.0006267071084501,-0.0001010764739623,0.0024437299035369,-0.0029813554549236,0.0298135545492369,0.0688299525905813,0.7736535229791237,0.8960129682858582,-0.0818485462025241,-0.0464477203637881,-0.4003464333839311,-0.5809326028716795,-0.102380366389625,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-094824Z_hybrid-stage-c_seed21.zip,-0.0123999960207545,0.0836627795975015,7,6.747000519796193,1,1.0,265.0,307.0,0.9935275080906149,253.0,293.0,0.9421221864951768,0.5240052930526646,,,
7,40000,0.0003,0.995,0.02,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.04,1.0,1,0.4854368932038835,0.573076923076923,0.5529801324503312,0.6328816930618086,0.3858520900321543,0.5185185185185185,0.5099601593625498,0.0575369842348429,-0.3206224004348927,-0.1118435633323431,0.5790088398859226,120.1238934993744,0.1655653681645306,51.15969876283997,0.0004224562134182,0.0010061173879989,-3.617637774027867e-05,0.0142394822006472,-0.00183723809216,0.0122482539477338,0.014566320138834,4.530125563177389,-8.341689213708497e-05,-9.091464170525515e-05,-0.0002554946933208,0.0158199356913183,-0.0034704574112405,0.0231363827416035,0.1362344787694738,1.4699126332036376,2.121980439953818,-0.0415655236214129,-0.0290871289001852,-0.2588028221732254,-0.3794520102578724,-0.0863422630007387,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-092513Z_hybrid-stage-b_seed7.zip,0.0575369842348429,0.0,1,0.0,0,1.0,260.0,302.0,0.9773462783171522,216.0,251.0,0.8070739549839229,0.565096563324768,,,
7,40000,0.0003,0.995,0.03,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.04,1.0,1,0.4854368932038835,0.5769230769230769,0.5577557755775577,0.6965492962424407,0.3408360128617363,0.5144508670520231,0.5125628140703518,0.0837822805272214,-0.3241952020092575,-0.1388683290143426,0.5950981303832938,115.73972368240356,0.1559554024291799,48.1902193506166,0.0004077669511619,0.0007221269529928,-4.868528253384596e-05,0.0023300970873786,-0.0008628203437649,0.0086282034376491,0.1590885855439547,49.47655010416992,-0.0001762210210695,0.0005984378416319,-0.0004429648090464,0.025209003215434,-0.0029707431462841,0.0297074314628418,0.132661677195109,1.880654873839751,2.4887436185316,-0.0417430097362107,-0.0561118945821847,-0.6015341724390217,-0.83212383335621,-0.0833579211086754,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-092907Z_hybrid-stage-b_seed7.zip,0.0837822805272214,0.0,1,0.0,0,1.0,260.0,303.0,0.9805825242718448,173.0,199.0,0.639871382636656,0.5780876869883069,,,
121,40000,0.0003,0.99,0.03,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,1.0,1,0.4822006472491909,0.5708812260536399,0.5526315789473685,0.6327506058862125,0.427652733118971,0.5076335877862596,0.5016393442622951,-0.0355433731506193,0.0296985590876712,-0.1846923613394746,0.577780207888273,74.42805314064026,0.1466318050333995,45.309227755320464,0.0013480332648013,0.001728855036062,-1.4756468089717636e-05,0.0070550161812297,-0.0024421503522025,0.0244215035220251,0.0457849420011195,14.23911696234818,-0.0002461486246739,0.0003200450438264,-3.235350404159068e-05,0.0044372990353697,-0.0058234644951064,0.0582346449510649,0.4865554382920378,1.847659277431137,2.541918037074176,-0.1236960975903214,-0.1019359269073167,-0.2673368197472808,-0.377458915356157,-0.1896484445461131,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-095207Z_hybrid-stage-c_seed121.zip,-0.0123999960207545,0.0836627795975015,7,6.747000519796193,1,1.0,261.0,304.0,0.9838187702265372,262.0,305.0,0.9807073954983924,0.5061485898409565,,,
7,40000,0.0003,0.99,0.03,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.04,1.0,1,0.4692556634304207,0.5674603174603174,0.5494880546075085,0.6004900870690446,0.3022508038585209,0.5064102564102564,0.4945652173913043,0.0102960820429425,-0.3529943948402909,-0.1870387149209292,0.5686745925262202,117.70775890350342,0.1458470139088015,45.06672729781968,0.0003276367594591,0.0008426432139548,-7.576703575417867e-05,0.0156634304207119,-0.0012795079828001,0.0085300532186677,0.131617789062328,40.933132398384,-0.0003458395562427,0.0004257493396182,-0.0004139713978075,0.032668810289389,-0.0066272871509525,0.0441819143396837,0.1038624843640756,1.2175858846620922,1.592107013648291,-0.0348129920814589,-0.1042822804887714,-1.258475567609059,-1.9251137225658872,-0.1188539931759866,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-091721Z_hybrid-stage-b_seed7.zip,0.0102960820429425,0.0,1,0.0,0,1.0,252.0,293.0,0.948220064724919,156.0,184.0,0.5916398713826366,0.5469182179816242,,,
7,40000,0.0003,0.99,0.02,1,0.002,1,0.001,0.05,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.04,1.0,1,0.4951456310679611,0.575187969924812,0.5566343042071198,0.6977890042706454,0.4437299035369775,0.5149253731343284,0.5080385852090032,-0.0453502670532062,-0.262161582775148,-0.0973181712208569,0.5941420770786711,117.4942147731781,0.1349352701122893,41.69499846469741,0.0005911396837622,0.0009883290394018,0.0,0.0090614886731391,-0.0028296284632677,0.0188641897551184,0.0294910187472909,9.171706830407482,-3.287232006772649e-05,3.1834408691927266e-05,0.0,0.0020578778135048,-0.0036724305598264,0.0244828703988431,0.1946952964292185,1.5730453397205888,2.1729733410775065,-0.0704289971607941,-0.014561736788699,-0.0845967276299819,-0.1268742059287539,-0.0974282274723865,0.4568568792043666,1.8417693046949544,2.4848237072969352,-0.1355773890565937,0.0827564344321578,0.3976988806903395,0.5367961186734007,-0.2288330692157109,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260402-090935Z_hybrid-stage-b_seed7.zip,-0.0453502670532062,0.0,1,0.0,0,1.0,266.0,309.0,1.0,268.0,311.0,1.0,0.5813971301170612,,,
